Курсы,Приоритет
Вводный инструктаж по информационной безопасности,1
Правила информационной безопасности при работе с электронной почтой и сетью-Интернет,1
Превосходный сервис. Требования к внешнему виду,1
Превосходный сервис. Коммуникации с клиентами,1
Оказание первой помощи,1
Начну с понедельника,1
Кросс-культурная коммуникация,1
Креативное мышление,1
Как управлять стрессом,1
Как принимать решения в команде,1
Как делегировать задачи,1
Информационная безопасность,1
Добро пожаловать в РЖД!,1
Онлайн-курс Тотального диктанта,1
Самомотивация,1
"Цифровой этикет, или как сделать онлайн-коммуникацию приятной и эффективной",1
Нейронные сети и компьютерное зрение,0.7
Введение в машинное обучение,0.5
Нейронные сети ,0.8
